site_ID;ecoregion;biological_control;birdwatching;ecosystem_engineering;food;pest_control;pollination;seed_dispersal;seed_predation;Total
1;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
2;Uruguayan savanna;0;0;0;0;0;0;0;0;0
3;Uruguayan savanna;0;0;0;0;0;0;0;0;0
4;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
5;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
6;Uruguayan savanna;0;0;0;0;0;0;0;0;0
7;Uruguayan savanna;0;0;0;0;0;0;0;0;0
8;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
9;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
10;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
11;Uruguayan savanna;0;0;0;0;0;0;0;0;0
12;Uruguayan savanna;0;0;0;0;0;0;0;0;0
13;Uruguayan savanna;0;0;0;0;0;0;0;0;0
14;Uruguayan savanna;0;0;0;0;0;0;0;0;0
15;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
16;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
17;Uruguayan savanna;0;0;0;0;0;0;0;0;0
18;Uruguayan savanna;0;0;0;0;0;0;0;0;0
19;Uruguayan savanna;0;0;0;0;0;0;0;0;0
20;Uruguayan savanna;0;0;0;0;0;0;0;0;0
21;Uruguayan savanna;0;0;0;0;0;0;0;0;0
22;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
23;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
24;Uruguayan savanna;0;0;0;0;0;0;0;0;0
25;Uruguayan savanna;0;0;0;0;0;0;0;0;0
26;Uruguayan savanna;0;0;0;0;0;0;0;0;0
27;Uruguayan savanna;0;0;0;0;0;0;0;0;0
28;Uruguayan savanna;0;0;0;0;0;0;0;0;0
29;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
30;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
31;Uruguayan savanna;0;0;0;0;0;0;0;0;0
32;Uruguayan savanna;0;0;0;0;0;0;0;0;0
33;Uruguayan savanna;0;0;0;0;0;0;0;0;0
34;Uruguayan savanna;0;0;0;0;0;0;0;0;0
35;Uruguayan savanna;0;0;0;0;0;0;0;0;0
36;Uruguayan savanna;0;0;0;0;0;0;0;0;0
37;Uruguayan savanna;0;0;0;0;0;0;0;0;0
38;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
39;Uruguayan savanna;0;0;0;0;0;0;0;0;0
40;Uruguayan savanna;0;0;0;0;0;0;0;0;0
41;Uruguayan savanna;0;0;0;0;0;0;0;0;0
42;Uruguayan savanna;0;0;0;0;0;0;0;0;0
43;Uruguayan savanna;0;0;0;0;0;0;0;0;0
44;Uruguayan savanna;0;0;0;0;0;0;0;0;0
45;Uruguayan savanna;0;0;0;0;0;0;0;0;0
46;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
47;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
48;Uruguayan savanna;0;0;0;0;0;0;0;0;0
49;Uruguayan savanna;0;0;0;0;0;0;0;0;0
50;Uruguayan savanna;0;0;0;0;0;0;0;0;0
51;Uruguayan savanna;0;0;0;0;0;0;0;0;0
52;Uruguayan savanna;0;0;0;0;0;0;0;0;0
53;Uruguayan savanna;0;0;0;0;0;0;0;0;0
54;Uruguayan savanna;0;0;0;0;0;0;0;0;0
55;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
56;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
57;Uruguayan savanna;0;0;0;0;0;0;0;0;0
58;Uruguayan savanna;0;0;0;0;0;0;0;0;0
59;Uruguayan savanna;0;0;0;0;0;0;0;0;0
60;Uruguayan savanna;0;0;0;0;0;0;0;0;0
61;Uruguayan savanna;0;0;0;0;0;0;0;0;0
62;Uruguayan savanna;0;0;0;0;0;0;0;0;0
63;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
64;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
65;Uruguayan savanna;0;0;0;0;0;0;0;0;0
66;Uruguayan savanna;0;0;0;0;0;0;0;0;0
67;Uruguayan savanna;0;0;0;0;0;0;0;0;0
68;Uruguayan savanna;0;0;0;0;0;0;0;0;0
69;Uruguayan savanna;0;0;0;0;0;0;0;0;0
70;Uruguayan savanna;0;0;0;0;0;0;0;0;0
71;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
72;Uruguayan savanna;0;0;0;0;0;0;0;0;0
73;Uruguayan savanna;0;0;0;0;0;0;0;0;0
74;Uruguayan savanna;0;0;0;0;0;0;0;0;0
75;Uruguayan savanna;0;0;0;0;0;0;0;0;0
76;Uruguayan savanna;0;0;0;0;0;0;0;0;0
77;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
78;Uruguayan savanna;0;0;0;0;0;0;0;0;0
79;Uruguayan savanna;0;0;0;0;0;0;0;0;0
80;Uruguayan savanna;0;0;0;0;0;0;0;0;0
81;Uruguayan savanna;0;0;0;0;0;0;0;0;0
82;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
83;Uruguayan savanna;0;0;0;0;0;0;0;0;0
84;Uruguayan savanna;0;0;0;0;0;0;0;0;0
85;Uruguayan savanna;0;0;0;0;0;0;0;0;0
86;Uruguayan savanna;0;0;0;0;0;0;0;0;0
87;Uruguayan savanna;0;0;0;0;0;0;0;0;0
88;Uruguayan savanna;0;0;0;0;0;0;0;0;0
89;Uruguayan savanna;0;0;0;0;0;0;0;0;0
90;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
91;Uruguayan savanna;0;0;0;0;0;0;0;0;0
92;Uruguayan savanna;0;0;0;0;0;0;0;0;0
93;Uruguayan savanna;0;0;0;0;0;0;0;0;0
94;Uruguayan savanna;0;0;0;0;0;0;0;0;0
95;Uruguayan savanna;0;0;0;0;0;0;0;0;0
96;Uruguayan savanna;0;0;0;0;0;0;0;0;0
97;Uruguayan savanna;0;0;0;0;0;0;0;0;0
98;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
99;Atlantic Coast restingas;0;0;0;0;0;0;0;0;0
100;Uruguayan savanna;0;0;0;0;0;0;0;0;0
101;Uruguayan savanna;0;0;0;0;0;0;0;0;0
102;Uruguayan savanna;0;0;0;0;0;0;0;0;0
